id,name,type,height,latitude,longitude,url
2462,Blake Fell,wainwright,573,54.564569,-3.377198,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2462
2463,Sergeant's Crag,wainwright,571,54.492531,-3.122463,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2463
2464,Outerside,wainwright,568,54.582169,-3.222159,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2464
2465,Knott Rigg,wainwright,556,54.558701,-3.242613,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2465
2466,Steel Fell [Dead Pike - Steel Fell],wainwright,553,54.49115,-3.052179,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2466
2467,Rosthwaite Fell - Bessyboot,wainwright,551,54.502198,-3.14685,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2467
2468,Tarn Crag (Easedale),wainwright,549,54.474295,-3.076006,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2468
2469,Hard Knott,wainwright,549,54.411026,-3.185029,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2469
2470,Blea Rigg,wainwright,541,54.461076,-3.078806,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2470
2471,Lank Rigg,wainwright,541,54.494811,-3.403973,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2471
2472,Calf Crag,wainwright,537,54.484231,-3.079493,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2472
2473,Whin Rigg (Wasdale),wainwright,537,54.420162,-3.309916,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2473
2474,Gavel Fell,wainwright,524.3,54.554011,-3.367472,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2474
2475,Eagle Crag,wainwright,525,54.499056,-3.12048,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2475
2476,Crag Fell,wainwright,523,54.516717,-3.396073,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2476
2477,Whinlatter [Brown How - Whinlatter],wainwright,517,54.614855,-3.254033,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2477
2478,High Tove,wainwright,515,54.53886,-3.100209,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2478
2479,Mellbreak [Mellbreak South Top],wainwright,512,54.555581,-3.318258,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2479
2480,Broom Fell,wainwright,510.2,54.632165,-3.247904,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2480
2481,Hen Comb,wainwright,506.2,54.550848,-3.343261,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2481
2482,Grike,wainwright,488,54.513766,-3.41488,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2482
2483,Armboth Fell,wainwright,475,54.532026,-3.089702,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2483
2484,Burnbank Fell,wainwright,475,54.575943,-3.37834,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2484
2485,Lingmoor Fell [Lingmoor Fell - Brown How],wainwright,470,54.432067,-3.07641,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2485
2486,Barf,wainwright,469,54.629665,-3.218084,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2486
2487,Raven Crag,wainwright,461,54.559231,-3.07872,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2487
2488,Barrow,wainwright,455,54.58566,-3.19752,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2488
2489,Graystones,wainwright,450.4,54.627991,-3.277642,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2489
2490,Cat Bells [Catbells],wainwright,451,54.568316,-3.1707,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2490
2491,Great Crag (Stonethwaite),wainwright,449,54.522189,-3.129333,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2491
2493,Low Fell,wainwright,422.5,54.591358,-3.336608,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2493
2494,Gibson Knott,wainwright,420.1,54.48107,-3.055825,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2494
2495,Fellbarrow - Mosser Fell,wainwright,416,54.60582,-3.344699,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2495
2496,Grange Fell [Brund Fell],wainwright,417.2,54.536408,-3.137963,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2496
2497,Buckbarrow,wainwright,423,54.443165,-3.334275,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2497
2498,Helm Crag,wainwright,405,54.475026,-3.040823,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2498
2499,Silver How,wainwright,393.8,54.450687,-3.04289,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2499
2500,Walla Crag,wainwright,379,54.581608,-3.120377,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2500
2501,Ling Fell,wainwright,374,54.645249,-3.272325,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2501
2502,Rannerdale Knotts,wainwright,355,54.552643,-3.289032,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2502
2503,Sale Fell,wainwright,359,54.655627,-3.250157,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2503
2507,Loughrigg Fell,wainwright,335,54.437454,-3.008355,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2507
2508,Black Fell,wainwright,323,54.405503,-3.017955,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2508
2510,Castle Crag,wainwright,290,54.533181,-3.161612,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2510
2515,Helvellyn,wainwright,949.8,54.527001,-3.017514,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2515
2517,Nethermost Pike,wainwright,891.3,54.518993,-3.015446,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2517
2518,Catstye Cam,wainwright,889.6,54.533472,-3.008944,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2518
2520,Raise,wainwright,882.7,54.547718,-3.017473,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2520
2521,Fairfield,wainwright,873.3,54.497054,-2.991648,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2521
2523,White Side,wainwright,863.2,54.540904,-3.025063,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2523
2524,Dollywaggon Pike,wainwright,858.5,54.508693,-3.011175,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2524
2525,Great Dodd,wainwright,857,54.575689,-3.019377,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2525
2526,Stybarrow Dodd,wainwright,843.7,54.561128,-3.017405,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2526
2527,St Sunday Crag,wainwright,841.2,54.51194,-2.975836,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2527
2528,High Street,wainwright,828,54.491691,-2.86486,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2528
2529,Hart Crag,wainwright,823.1,54.492752,-2.976954,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2529
2530,High Raise (High Street),wainwright,803.6,54.513367,-2.853779,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2530
2532,Rampsgill Head,wainwright,792.4,54.508092,-2.861252,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2532
2533,Dove Crag,wainwright,792,54.4854,-2.96693,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2533
2534,Watson's Dodd,wainwright,789,54.566917,-3.028995,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2534
2535,Thornthwaite Crag,wainwright,784,54.482611,-2.878976,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2535
2536,Kidsty Pike,wainwright,781,54.505513,-2.854959,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2536
2537,Harter Fell (Mardale),wainwright,779,54.476414,-2.835323,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2537
2538,Red Screes,wainwright,776,54.470589,-2.932572,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2538
2539,Great Rigg,wainwright,766.4,54.484906,-2.995692,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2539
2540,Stony Cove Pike [Caudale Moor],wainwright,763.7,54.48206,-2.90008,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2540
2541,Mardale Ill Bell,wainwright,760,54.483418,-2.854112,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2541
2542,Ill Bell,wainwright,757,54.462017,-2.870837,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2542
2543,Hart Side,wainwright,756,54.568719,-2.992938,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2543
2544,The Knott (High Street),wainwright,739,54.506316,-2.870821,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2544
2545,Seat Sandal,wainwright,736.8,54.494857,-3.014027,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2545
2546,Kentmere Pike,wainwright,730.5,54.462682,-2.826034,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2546
2547,Clough Head,wainwright,726,54.593661,-3.032362,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2547
2548,Froswick,wainwright,720,54.468949,-2.872974,http://www.hill-bagging.co.uk/mountaindetails.php?qu=S&rf=2548
